DNR_ID,site,date,sizeRange,percent
82-0167,234,2019-06-06T00:00:00Z,0_33,0
02-0003,204,2019-06-04T00:00:00Z,0_33,25.806451612903224
62-0002,207,2019-06-04T00:00:00Z,0_33,63.63636363636363
62-0061,208,2019-05-29T00:00:00Z,0_33,0
62-0075,202,2019-05-29T00:00:00Z,0_33,0
62-0057,401,2019-05-24T00:00:00Z,0_33,8.333333333333332
62-0078,101,2019-05-24T00:00:00Z,0_33,0
62-0047,201,2019-05-23T00:00:00Z,0_33,63.63636363636363
62-0225,201,2019-05-23T00:00:00Z,0_33,100
62-0067,202,2019-05-22T00:00:00Z,0_33,25
62-0083,204,2019-05-22T00:00:00Z,0_33,2.2222222222222223
62-0054,101,2019-05-21T00:00:00Z,0_33,5.714285714285714
62-0231,201,2019-05-21T00:00:00Z,0_33,63.63636363636363
62-0055,201,2019-05-20T00:00:00Z,0_33,92.85714285714286
02-0003,204,2019-05-17T00:00:00Z,0_33,54.54545454545454
62-0002,207,2019-05-17T00:00:00Z,0_33,13.333333333333334
82-0167,234,2019-05-16T00:00:00Z,0_33,0
62-0061,208,2019-05-10T00:00:00Z,0_33,48.38709677419355
62-0075,202,2019-05-10T00:00:00Z,0_33,0
62-0057,401,2019-05-07T00:00:00Z,0_33,12
62-0078,101,2019-05-07T00:00:00Z,0_33,0
62-0067,202,2019-05-06T00:00:00Z,0_33,18.181818181818183
62-0083,204,2019-05-06T00:00:00Z,0_33,47.76119402985074
62-0047,201,2019-05-03T00:00:00Z,0_33,0
62-0225,201,2019-05-03T00:00:00Z,0_33,33.33333333333333
62-0054,101,2019-05-02T00:00:00Z,0_33,0
62-0231,201,2019-05-02T00:00:00Z,0_33,0
62-0055,201,2019-05-01T00:00:00Z,0_33,0
62-0047,201,2019-04-18T00:00:00Z,0_33,0
62-0054,101,2019-04-16T00:00:00Z,0_33,0
62-0231,201,2019-04-16T00:00:00Z,0_33,0
62-0055,201,2019-04-15T00:00:00Z,0_33,0
62-0047,201,2015-10-20T00:00:00Z,0_33,0
62-0225,201,2015-10-20T00:00:00Z,0_33,0
62-0054,101,2015-10-18T00:00:00Z,0_33,0
62-0055,201,2015-10-18T00:00:00Z,0_33,0
62-0231,201,2015-10-18T00:00:00Z,0_33,0
62-0039,201,2015-09-25T00:00:00Z,0_33,0
62-0071,201,2015-09-25T00:00:00Z,0_33,0
02-0003,204,2015-09-24T00:00:00Z,0_33,0
62-0002,207,2015-09-24T00:00:00Z,0_33,0
82-0167,234,2015-09-23T00:00:00Z,0_33,0
62-0047,201,2015-09-22T00:00:00Z,0_33,0
62-0225,201,2015-09-22T00:00:00Z,0_33,0
62-0001,202,2015-09-21T00:00:00Z,0_33,0
62-0016,201,2015-09-21T00:00:00Z,0_33,0
62-0006,202,2015-09-18T00:00:00Z,0_33,0
62-0007,203,2015-09-18T00:00:00Z,0_33,0
62-0010,401,2015-09-18T00:00:00Z,0_33,0
62-0012,201,2015-09-15T00:00:00Z,0_33,0
62-0013,201,2015-09-15T00:00:00Z,0_33,0
62-0061,208,2015-09-14T00:00:00Z,0_33,0
62-0073,201,2015-09-14T00:00:00Z,0_33,0
62-0075,202,2015-09-14T00:00:00Z,0_33,0
62-0054,101,2015-09-11T00:00:00Z,0_33,0
62-0056,212,2015-09-11T00:00:00Z,0_33,0
62-0082,201,2015-09-11T00:00:00Z,0_33,0
62-0048,201,2015-09-10T00:00:00Z,0_33,0
62-0055,201,2015-09-10T00:00:00Z,0_33,0
62-0231,201,2015-09-10T00:00:00Z,0_33,0
